District,ac_no,ac_name,Winner Candidate 2014,Winner Party 2014,Winner Votes,Runner Up Candidate 2014,Runner Up Party 2014,Runner Up Votes 2014,Margin 2014,Turnout(%) 2019,Winner Candidate 2019,Winner Party 2019,Winner Votes 2019,Runner Up Candidate 2019,Runner Up Party 2019,Runner Up Votes 2019,Margin 2019,Status
Krishna,200,Vijayawada East,Gadde Ramamohan,Telugu Desam Party,88784,Vangaveeti Radhakrishna,YSR Congress Party,73281,15503,66.12,Gadde Ramamohan,Telugu Desam Party,82990,Boppana Bhava Kumar,YSR Congress Party,67826,15164,Telugu Desam Party Hold
Krishna,201,Mylavaram,Devineni Uma Maheswara Rao,Telugu Desam Party,94539,Jogi Ramesh,YSR Congress Party,86970,7569,83.48,Vasantha Venkata Krishna Prasad,YSR Congress Party,114940,Devineni Uma Maheswara Rao,Telugu Desam Party,102287,12653,Telugu Desam Party -->  YSR Congress Party
Krishna,202,Nandigama (SC),Tangirala Prabhakara Rao,Telugu Desam Party,78721,Monditoka Jagan Mohana Rao,YSR Congress Party,73509,5212,88.01,Monditoka Jagan Mohana Rao,YSR Congress Party,87493,Tangirala Sowmya,Telugu Desam Party,76612,10881,Telugu Desam Party -->  YSR Congress Party
Krishna,203,Jaggayyapeta,Rajagopal Sreeram,Telugu Desam Party,80939,Udayabhanu Samineni,YSR Congress Party,79093,1846,89.64,Udayabhanu Samineni,YSR Congress Party,87965,Rajagopal Sreeram,Telugu Desam Party,83187,4778,Telugu Desam Party -->  YSR Congress Party
Guntur,204,Pedakurapadu,Kommalapati Sridhar,Telugu Desam Party,90310,Bolla Brahma Naidu,YSR Congress Party,81114,9196,88.23,Namburu Sankara Rao,YSR Congress Party,99577,Kommalapati Sridhar,Telugu Desam Party,85473,14104,Telugu Desam Party -->  YSR Congress Party
Guntur,205,Tadikonda (SC),Tenali Sravan Kumar,Telugu Desam Party,80847,Heni Christina Kathera,YSR Congress Party,73305,7542,85.77,Vundavalli Sridevi,YSR Congress Party,86848,Tenali Sravan Kumar,Telugu Desam Party,82415,4433,Telugu Desam Party -->  YSR Congress Party
Guntur,206,Mangalagiri,Alla Rama Krishna Reddy,YSR Congress Party,88977,Ganji Chiranjeevi,Telugu Desam Party,88965,12,85.45,Alla Rama Krishna Reddy,YSR Congress Party,108464,Nara Lokesh,Telugu Desam Party,103127,5337,YSR Congress Party Hold
Guntur,207,Ponnur,Dhulipalla Narendra Kumar,Telugu Desam Party,88386,Ravi Venkata Ramana,YSR Congress Party,80625,7761,82.95,Kilari Venkata Rosaiah,YSR Congress Party,87570,Dhulipalla Narendra Kumar,Telugu Desam Party,86458,1112,Telugu Desam Party -->  YSR Congress Party
Guntur,208,Vemuru (SC),Nakka Ananda Babu,Telugu Desam Party,77222,Merugu Nagarjuna,YSR Congress Party,75095,2127,87.53,Merugu Nagarjuna,YSR Congress Party,81671,Nakka Ananda Babu,Telugu Desam Party,71672,9999,Telugu Desam Party -->  YSR Congress Party
Guntur,209,Repalle,Anagani Satya Prasad,Telugu Desam Party,85076,Mopidevi Venkataramana,YSR Congress Party,71721,13355,82.83,Anagani Satya Prasad,Telugu Desam Party,89975,Mopidevi Venkataramana,YSR Congress Party,78420,11555,Telugu Desam Party Hold
Guntur,210,Tenali,Alapati Rajendra Prasad,Telugu Desam Party,93524,Annabathuni Siva Kumar,YSR Congress Party,74459,19065,77.47,Annabathuni Siva Kumar,YSR Congress Party,94495,Alapati Rajendra Prasad,Telugu Desam Party,76846,17649,Telugu Desam Party -->  YSR Congress Party
Guntur,211,Bapatla,Kona Raghupathi,YSR Congress Party,71076,Annam Satish Prabhakar,Telugu Desam Party,65263,5813,82.58,Kona Raghupathi,YSR Congress Party,79836,Annam Satish Prabhakar,Telugu Desam Party,64637,15199,YSR Congress Party Hold
Guntur,212,Prathipadu (SC),Ravela Kishore Babu,Telugu Desam Party,96274,Mekathoti Sucharita,YSR Congress Party,88869,7405,84.21,Mekathoti Sucharita,YSR Congress Party,92508,Dokka Manikya Vara Prasad,Telugu Desam Party,85110,7398,Telugu Desam Party -->  YSR Congress Party
Guntur,213,Guntur West,Modugula Venugopala Reddy,Telugu Desam Party,78837,Appi Reddy Lella,YSR Congress Party,60924,17913,65.68,Maddali Giridhara Rao,Telugu Desam Party,71864,Chandragiri Yesuratnam,YSR Congress Party,67575,4289,Telugu Desam Party Hold
Guntur,214,Guntur East,Mohammad Musthafa Shaik,YSR Congress Party,74131,Maddali Giridhara Rao,Telugu Desam Party,70980,3151,69.99,Mohammad Musthafa Shaik,YSR Congress Party,77047,Mohammed Naseer,Telugu Desam Party,54956,22091,YSR Congress Party Hold
Guntur,215,Chilakaluripet,Prathipati Pulla Rao,Telugu Desam Party,89591,Marri Rajasekhar,YSR Congress Party,78907,10684,85.51,Vidadala Rajini,YSR Congress Party,94430,Prathipati Pulla Rao,Telugu Desam Party,86129,8301,Telugu Desam Party -->  YSR Congress Party
Guntur,216,Narasaraopet,Gopireddy Srinivasareddy,YSR Congress Party,87761,Nalabothu Venkata Rao,Bharatiya Janata Party,71995,15766,81.5,Gopireddy Srinivasareddy,YSR Congress Party,100994,Aravinda Babu Chadalavada,Telugu Desam Party,68717,32277,YSR Congress Party Hold
Guntur,217,Sattenapalle,Kodela Siva Prasada Rao,Telugu Desam Party,85247,Ambati Rambabu,YSR Congress Party,84323,924,87.77,Ambati Rambabu,YSR Congress Party,105063,Kodela Siva Prasada Rao,Telugu Desam Party,84187,20876,Telugu Desam Party -->  YSR Congress Party
Guntur,218,Vinukonda,G V Aanzaneyulu,Telugu Desam Party,104321,Nannapaneni Sudha,YSR Congress Party,82914,21407,88.16,Bolla Brahma Naidu,YSR Congress Party,120703,G V Aanzaneyulu,Telugu Desam Party,92075,28628,Telugu Desam Party -->  YSR Congress Party
Guntur,219,Gurajala,Yarapathineni Srinivasa Rao,Telugu Desam Party,94827,Janga Krishna Murthy,YSR Congress Party,87640,7187,83.52,Kasu Mahesh Reddy,YSR Congress Party,117204,Yarapathineni Srinivasa Rao,Telugu Desam Party,88591,28613,Telugu Desam Party -->  YSR Congress Party
Guntur,220,Macherla,Ramakrishna Reddy Pinnelli,YSR Congress Party,94249,Chalamareddy Kommareddy,Telugu Desam Party,90714,3535,84.41,Ramakrishna Reddy Pinnelli,YSR Congress Party,110406,Anji Reddy Annapureddy,Telugu Desam Party,88488,21918,YSR Congress Party Hold
Prakasam,221,Yerragondapalem (SC),Palaparthi David Raju,YSR Congress Party,85774,Budala Ajitha Rao,Telugu Desam Party,66703,19071,87.23,Adimulapu Suresh,YSR Congress Party,99408,Budala Ajitha Rao,Telugu Desam Party,67776,31632,YSR Congress Party Hold
Prakasam,222,Darsi,Sidda Raghava Rao,Telugu Desam Party,88821,Buchepalli Siva Prasad Reddy,YSR Congress Party,87447,1374,89.62,Maddisetty Venugopal,YSR Congress Party,111914,Kadiri Baburao,Telugu Desam Party,72857,39057,Telugu Desam Party -->  YSR Congress Party
Prakasam,223,Parchur,Yeluri Sambasiva Rao,Telugu Desam Party,97248,Gottipati Bharath Kumar,YSR Congress Party,86473,10775,87.56,Yeluri Sambasiva Rao,Telugu Desam Party,97076,Daggubati Venkateswara Rao,YSR Congress Party,95429,1647,Telugu Desam Party Hold
Prakasam,224,Addanki,Gottipati Ravikumar,YSR Congress Party,99537,Karanam Venkatesh,Telugu Desam Party,95302,4235,89.82,Gottipati Ravikumar,Telugu Desam Party,105545,Chenchu Garataiah Bachina,YSR Congress Party,92554,12991,YSR Congress Party -->  Telugu Desam Party
Prakasam,225,Chirala,Amanchi Krishna Mohan,Navodayam Party,57544,Pothula Suneetha,Telugu Desam Party,47209,10335,83.76,Karanam Balaram Krishna Murthy,Telugu Desam Party,83901,Amanchi Krishna Mohan,YSR Congress Party,66482,17419,Navodayam Party -->  Telugu Desam Party
Prakasam,226,Santhanuthalapadu (SC),Adimulapu Suresh,YSR Congress Party,80954,B. N. Vijay Kumar,Telugu Desam Party,79678,1276,83.86,T. J. R. Sudhakar Babu,YSR Congress Party,89160,B. N. Vijay Kumar,Telugu Desam Party,80082,9078,YSR Congress Party Hold
Prakasam,227,Ongole,Damacharla Janardhana Rao,Telugu Desam Party,93025,Balineni Srinivasa Reddy,YSR Congress Party,80597,12428,84.02,Balineni Srinivasa Reddy,YSR Congress Party,101022,Damacharla Janardhana Rao,Telugu Desam Party,78777,22245,Telugu Desam Party -->  YSR Congress Party
Prakasam,228,Kandukur,Pothula Rama Rao,YSR Congress Party,84538,Divi Siva Ram,Telugu Desam Party,80732,3806,88.86,Manugunta Maheedhar Reddy,YSR Congress Party,101275,Pothula Rama Rao,Telugu Desam Party,86339,14936,YSR Congress Party Hold
Prakasam,229,Kondapi (SC),Dola Sree Bala Veeranjaneya Swamy,Telugu Desam Party,92234,Jupudi Prabhakara Rao,YSR Congress Party,86794,5440,87.09,Dola Sree Bala Veeranjaneya Swamy,Telugu Desam Party,98142,Madasi Venkaiah,YSR Congress Party,97118,1024,Telugu Desam Party Hold
Prakasam,230,Markapuram,Janke Venkata Reddy,YSR Congress Party,82411,Kandula Narayana Reddy,Telugu Desam Party,72609,9802,85.22,Kunduru Nagarjuna Reddy,YSR Congress Party,92680,Kandula Narayana Reddy,Telugu Desam Party,74013,18667,YSR Congress Party Hold
